title,description,property_type,status,price,bedrooms,bathrooms
Office Space Amberkhana,Commercial office near main road,commercial,available,19000000,0,2
Luxury House Uposhohor,Spacious luxury house,house,available,35000000,5,4
Flat Shahjalal Uposhohor,Well planned residential area,apartment,available,9800000,3,2
Apartment Sonadanga R/A,Modern residential flat,apartment,available,8700000,2,2
Commercial Space Boyra,Small commercial office,commercial,available,15000000,0,1
House Khalishpur,Traditional family house,house,rented,16500000,3,2
Flat Rajpara City,Close to city amenities,apartment,available,8900000,2,2
Office Space Shaheb Bazar,Business hub location,commercial,available,23000000,0,2
Apartment Laksam Station,Close to railway station,apartment,available,6200000,2,1
House Cumilla Cantonment,Secure residential house,house,available,28000000,4,3
Flat Chashara Central,Busy commercial-residential zone,apartment,rented,9200000,3,2
Commercial Space Narayanganj,Warehouse style commercial unit,commercial,available,36000000,0,3
Apartment Savar EPZ,Near industrial zone,apartment,available,7000000,2,2
House Savar Cantonment,Army controlled residential area,house,available,30000000,5,4
Flat Tongi Station Road,Affordable city apartment,apartment,available,5400000,2,1
Commercial Plot Gazipur,Industrial commercial plot,commercial,available,90000000,0,0
Apartment Gazipur Chowrasta,Modern mid-rise apartment,apartment,available,8600000,3,2
House Kaliakoir,Suburban family house,house,available,19500000,4,3
Flat Uttara Sector 7,Prime Uttara sector flat,apartment,available,16500000,3,2
Luxury Apartment Uttara Sector 10,Premium apartment with lift,apartment,available,22000000,4,3
Office Space Gulshan 1,Elite corporate office,commercial,available,52000000,0,3
House Badda Link Road,Urban residential house,house,rented,26000000,4,3
Flat Rampura Lake View,Lake-facing apartment,apartment,available,14000000,3,2
Commercial Space Malibagh,Shop and office combined,commercial,available,20000000,0,2
Apartment Shantinagar,Central Dhaka apartment,apartment,available,11000000,3,2
House Kakrail,Independent city house,house,available,29000000,4,3
Flat Moghbazar,Popular residential apartment,apartment,rented,9800000,2,2
Office Space Hatirjheel View,Modern office with view,commercial,available,45000000,0,3
Apartment Kalabagan,Affordable family flat,apartment,available,8200000,2,2
House Lalmatia,Prime residential area house,house,available,38000000,5,4
Flat Elephant Road,Central location apartment,apartment,available,10500000,3,2
Commercial Space New Market,Retail business hotspot,commercial,rented,31000000,0,2
